,一般公共预算收入合计,税收收入,个人所得税,企业所得税,印花税,土地增值税,城市维护建设税,城镇土地使用税,增值税,契税,房产税,环境保护税,耕地占用税,营业税,证券交易印花税,车船税,非税收入,专项收入,教育费附加收入,地方教育附加收入,文化事业建设费收入,残疾人就业保障金收入,教育资金收入,农田水利建设资金收入,水利建设专项收入,其他专项收入,行政事业性收费收入,国有资源（资产）有偿使用收入,政府住房基金收入,其他收入,上年结转收入,中央财政税收返还和补助收入,动用预算稳定调节基金,地方政府一般债务收入,调入资金
1995,22730000000,,1510000000,4290000000,,,1603000000,,5310000000,,,,,8830000000,884000000,,,,,,,,,,,,,,,,,,,,
2000,49796000000,,6024000000,10303000000,,,2201000000,,9355000000,,1324000000,,,15381000000,2804000000,,,,,,,,,,,,,,,,,,,,
2001,55386000000,,4756000000,11425000000,,,2475000000,,11195000000,,1466000000,,,19112000000,1004000000,,,,,,,,,,,,,,,,,,,,
2002,71979000000,,6708000000,13946000000,,,3021000000,,13683000000,,1968000000,,,25185000000,205000000,,,,,,,,,,,,,,,,,,,,
2003,89928000000,,7181000000,14615000000,,,3562000000,,17020000000,,2241000000,,,33231000000,248000000,,,,,,,,,,,,,,,,,,,,
2004,1.11972E+11,,8869000000,20499000000,,,4346000000,,13155000000,,2708000000,,,44246000000,320000000,,,,,,,,,,,,,,,,,,,,
2005,1.4339E+11,,11192000000,24915000000,,,4979000000,,22612000000,,3410000000,,,51293000000,122000000,,,,,,,,,,,,,,,,,,,,
2006,1.60037E+11,,13107000000,27063000000,,,5297000000,,27021000000,,4268000000,,,55867000000,346000000,,,,,,,,,,,,,,,,,,,,
2007,2.10263E+11,,16944000000,42563000000,,,6553000000,,31342000000,,4283000000,,,71460000000,3993000000,,,,,,,,,,,,,,,,,,,,
2008,2.38234E+11,,20489000000,54799000000,,,,,33489000000,10999000000,,,,76338000000,,,,,,,,,,,,,,,,,,,,,